roundId,price,startedAt,updatedAt,answeredInRound
18446744073709590224,8860000000000,1720912709,1720912709,18446744073709590224
18446744073709590223,8815364000000,1720912439,1720912439,18446744073709590223
18446744073709590222,8770000000000,1720912139,1720912139,18446744073709590222
18446744073709590221,8822457070596,1720911959,1720911959,18446744073709590221
18446744073709590220,8775253859651,1720911899,1720911899,18446744073709590220
18446744073709590219,8727335500000,1720911719,1720911719,18446744073709590219
18446744073709590218,8771490900000,1720911479,1720911479,18446744073709590218
18446744073709590217,8720000000000,1720911239,1720911239,18446744073709590217
18446744073709590216,8668589600000,1720910819,1720910819,18446744073709590216
18446744073709590215,8621896400000,1720910518,1720910518,18446744073709590215
18446744073709590214,8560385295227,1720910458,1720910458,18446744073709590214
18446744073709590213,8510467320000,1720909798,1720909798,18446744073709590213
18446744073709590212,8467857700000,1720909558,1720909558,18446744073709590212
18446744073709590211,8552114506080,1720909258,1720909258,18446744073709590211
18446744073709590210,8612066400000,1720906707,1720906707,18446744073709590210
18446744073709590209,8661861011914,1720903976,1720903976,18446744073709590209
18446744073709590208,8709000000000,1720901425,1720901425,18446744073709590208
18446744073709590207,8680993813673,1720897823,1720897823,18446744073709590207
18446744073709590206,8631467100000,1720894642,1720894642,18446744073709590206
18446744073709590205,8681495403078,1720894162,1720894162,18446744073709590205
18446744073709590204,8638252600000,1720892301,1720892301,18446744073709590204
18446744073709590203,8593176362170,1720890830,1720890830,18446744073709590203
18446744073709590202,8639439500000,1720888489,1720888489,18446744073709590202
18446744073709590201,8691651100000,1720887889,1720887889,18446744073709590201
18446744073709590200,8741432067503,1720887709,1720887709,18446744073709590200
18446744073709590199,8690000000000,1720887469,1720887469,18446744073709590199
18446744073709590198,8641414397399,1720884768,1720884768,18446744073709590198
18446744073709590197,8600172923710,1720881166,1720881166,18446744073709590197
18446744073709590196,8555842086981,1720879366,1720879366,18446744073709590196
18446744073709590195,8603462713454,1720879276,1720879276,18446744073709590195
18446744073709590194,8649312301338,1720879035,1720879035,18446744073709590194
18446744073709590193,8692869200000,1720877835,1720877835,18446744073709590193
18446744073709590192,8743349720000,1720876154,1720876154,18446744073709590192
18446744073709590191,8790000000000,1720874563,1720874563,18446744073709590191
18446744073709590190,8740707600829,1720873873,1720873873,18446744073709590190
18446744073709590189,8709819159192,1720870271,1720870271,18446744073709590189
18446744073709590188,8665393728804,1720868681,1720868681,18446744073709590188
18446744073709590187,8712538354263,1720868291,1720868291,18446744073709590187
18446744073709590186,8668646730000,1720867660,1720867660,18446744073709590186
18446744073709590185,8715655659999,1720867270,1720867270,18446744073709590185
18446744073709590184,8768374182451,1720866670,1720866670,18446744073709590184
18446744073709590183,8817675040000,1720865079,1720865079,18446744073709590183
18446744073709590182,8865991318099,1720864869,1720864869,18446744073709590182
18446744073709590181,8818271400000,1720862379,1720862379,18446744073709590181
18446744073709590180,8768542140000,1720861118,1720861118,18446744073709590180
18446744073709590179,8819576461049,1720860368,1720860368,18446744073709590179
18446744073709590178,8830177800000,1720856766,1720856766,18446744073709590178
18446744073709590177,8840000000000,1720853164,1720853164,18446744073709590177
18446744073709590176,8892044699999,1720852654,1720852654,18446744073709590176
18446744073709590175,8882286979712,1720849052,1720849052,18446744073709590175
18446744073709590174,8836999999999,1720847251,1720847251,18446744073709590174
18446744073709590173,8787578300000,1720846231,1720846231,18446744073709590173
18446744073709590172,8832562339418,1720845660,1720845660,18446744073709590172
18446744073709590171,8882658716926,1720845122,1720845122,18446744073709590171
18446744073709590170,8823590747471,1720844220,1720844220,18446744073709590170
18446744073709590169,8776432825663,1720843200,1720843200,18446744073709590169
18446744073709590168,8820152089221,1720839599,1720839599,18446744073709590168
18446744073709590167,8771925251596,1720838397,1720838397,18446744073709590167
18446744073709590166,8721601797850,1720836687,1720836687,18446744073709590166
18446744073709590165,8766580900000,1720836116,1720836116,18446744073709590165
18446744073709590164,8811754130239,1720833535,1720833535,18446744073709590164
18446744073709590163,8766366280000,1720831674,1720831674,18446744073709590163
18446744073709590162,8719905973333,1720831284,1720831284,18446744073709590162
18446744073709590161,8671863800000,1720830744,1720830744,18446744073709590161
18446744073709590160,8719152800007,1720829484,1720829484,18446744073709590160
18446744073709590159,8670004090834,1720828193,1720828193,18446744073709590159
18446744073709590158,8660000000000,1720824592,1720824592,18446744073709590158
18446744073709590157,8611880217728,1720823601,1720823601,18446744073709590157
18446744073709590156,8659731600000,1720822550,1720822550,18446744073709590156
18446744073709590155,8635556636928,1720818949,1720818949,18446744073709590155
18446744073709590154,8679050073656,1720817959,1720817959,18446744073709590154
18446744073709590153,8635163659999,1720815647,1720815647,18446744073709590153
18446744073709590152,8681129721371,1720814567,1720814567,18446744073709590152
18446744073709590151,8732880899999,1720812170,1720812170,18446744073709590151
18446744073709590150,8784458960000,1720811446,1720811446,18446744073709590150
18446744073709590149,8829767199451,1720810846,1720810846,18446744073709590149
18446744073709590148,8874564274477,1720809975,1720809975,18446744073709590148
18446744073709590147,8816467920000,1720809315,1720809315,18446744073709590147
18446744073709590146,8766373900000,1720807154,1720807154,18446744073709590146
18446744073709590145,8810710723432,1720804664,1720804664,18446744073709590145
18446744073709590144,8748163490319,1720803012,1720803012,18446744073709590144
18446744073709590143,8817445498961,1720802712,1720802712,18446744073709590143
